participant,trial,presented_words,recalled_words,serial_recall_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,Who are you Give us an answer to take back to those who sent us,Who are you Give us an answer to take back to those who sent us,who are you give us an answer to take back to those who sent us,0 1 1 0 1 1 1 1 1 1 0 1 1 1 0,1789116876.902874,1789116892.498394,1789116892.498395
Nanna,2,The guy who helped us the other day is here to help us again today,The guy who helped us the other day is here to help us again today,the guy that helped us the other day is here to help us again today,0 1 0 1 1 1 1 1 1 1 1 1 0 1 1,1789116907.219151,1789116922.2697809,1789116922.269782
Nanna,3,Turn to the right at the corner and you will find it on your left,Turn to the right at the corner and you will find it on your left,turn to the right at the corner and you will find it on your left,0 1 1 1 1 0 1 1 1 1 1 1 1 1 1,1789116937.6742651,1789116952.730227,1789116952.730228
Nanna,4,Do you spend most of your time at home or do you go out often,Do you spend most of your time at home or do you go out often,do you spend most of your time at home or do you go out often,0 1 1 1 1 1 1 1 1 1 1 0 1 1 1,1789116973.818613,1789116988.870235,1789116988.870236
Nanna,5,The more you try to get it your way the less you feel at home,The more you try to get it your way the less you feel at home,the more you try to get it your way the less you feel at home,0 1 1 1 1 1 1 1 1 1 1 0 1 1 1,1789117000.74018,1789117015.803512,1789117015.803513
Nanna,6,Why does it seem that time goes by faster and faster the older you get,Why does it seem that time goes by faster and faster the older you get,why does it seem that time goes by faster and faster the older you get,0 1 1 1 1 1 1 1 1 1 0 1 1 1 1,1789117031.3114471,1789117046.358639,1789117046.3586402
Nanna,7,If you always do what you always did you always get what you always got,If you always do what you always did you always get what you always got,if you always do what you always did you always get what you always got,0 1 1 1 1 0 0 1 0 0 1 0 0 0 1,1789117060.888078,1789117075.937512,1789117075.9375129
Nanna,8,Time passes slowly for those who are sad but fast for those who are happy,Time passes slowly for those who are sad but fast for those who are happy,time passes slowly for those who are sad but fast for those who are happy,0 1 1 1 1 1 1 1 1 1 0 0 0 0 1,1789117091.983263,1789117107.034616,1789117107.0346172
Nanna,9,We want a young man As long as he is honest any boy will do,We want a young man As long as he is honest any boy will do,we want a young man as long as he is honest any boy will do,0 1 1 1 1 0 1 1 1 1 1 1 1 1 1,1789117120.7073731,1789117135.767275,1789117135.767275
Nanna,10,One of these and two of these please To take away No to eat in,One of these and two of these please To take away No to eat in,One of these and two of the please to take away no to eat in,1 1 1 1 1 0 0 1 0 1 1 0 1 1 1,1789117146.723337,1789117161.773603,1789117161.773603
