participant,trial,presented_words,recalled_words,serial_recall_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,coat wing also cool root kind wool duty dark mean jump upon soil spit dive,coat dive             ,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117627.173724,1789117650.1271229,1789117650.127124
Nanna,2,high soap meow dear whip hurt till cusp from hill land line code beer side,from hill side            ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117659.1943018,1789117682.027997,1789117682.027998
Nanna,3,jump skin work cord turn form hunt weak wild beat date face once next plug,skin plug             ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117694.2028632,1789117716.993727,1789117716.993728
Nanna,4,meow lazy loud rest loan doll safe deck dear mean make flow lift walk bill,flow lift walk bill           ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117725.4893398,1789117748.30831,1789117748.3083122
Nanna,5,boot land wise luck tune will sand drop claw link mood part show clip crop,show crop             ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117759.2653818,1789117782.076434,1789117782.0764349
Nanna,6,wave vote July tame mine leaf twin line germ book from week bath tent salt,tent bath salt            ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117790.431999,1789117813.2582011,1789117813.2582028
Nanna,7,tide iron face cave make ball tear visa open word song rice book whip nest,word song rice nest           ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117822.116899,1789117844.9243221,1789117844.924323
Nanna,8,clay jazz zinc upon tray trap debt bomb from care rest over full beat horn,tray trap full beat horn          ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117854.2494762,1789117877.074306,1789117877.074307
Nanna,9,then dull rise mark cart move lime duty same grip good nail undo pump hold,undo pump hold            ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117888.185652,1789117911.0230541,1789117911.023055
Nanna,10,edge care axis half fact dull seem hiss rule rock beat milk area hill ship,milk beat hill ship           ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1789117920.2765,1789117943.072974,1789117943.0729752
