participant,trial,presented_words,recalled_words,serial_recall_score,presentation_start_time,presentation_end_time,recall_start_time
Selma,1,in A half to day insist last your We kind,in a half to day     kind,1 1 1 1 1 0 0 0 0 1,1789457394.561423,1789457409.7506828,1789457409.7506828
Selma,2,with you to Did for mother be to be least,if you to did for mother    least,0 1 1 1 1 1 0 0 0 1,1789457422.770998,1789457437.818211,1789457437.818211
Selma,3,was he to you let do prefer if We a,      if we  ,0 0 0 0 0 0 0 0 0 0,1789457450.955752,1789457466.001048,1789457466.001049
Selma,4,them How you're did for or man a this There,if how you're       ,0 1 1 0 0 0 0 0 0 0,1789457484.283519,1789457499.321024,1789457499.3210251
Selma,5,to hours never me tea about secret me you it,to hours me tea      ,1 1 0 0 0 0 0 0 0 0,1789457530.626959,1789457545.6791859,1789457545.679187
Selma,6,may this this no these hard wide table one place,may never        ,1 0 0 0 0 0 0 0 0 0,1789457555.191468,1789457570.2325382,1789457570.2325382
Selma,7,They some came would my go idea The It a,may some came would      a,0 1 1 1 0 0 0 0 0 1,1789457577.5720692,1789457592.612163,1789457592.612164
Selma,8,weeks is five it do to Do the stop kind,weeks is five it      ,1 1 1 1 0 0 0 0 0 0,1789457603.506088,1789457618.554306,1789457618.554307
Selma,9,be in of you to the that this in him,be in off to will     ,1 1 0 0 0 0 0 0 0 0,1789457632.093212,1789457647.130367,1789457647.130368
Selma,10,try rest here will Can out do in lie made,try rest here will      made,1 1 1 1 0 0 0 0 0 1,1789457655.1820889,1789457670.2313511,1789457670.231352
